COARSE,CONSTRAINT_DIM,COARSE_RATIONALE,COARSE_DEFINITION,FINE,FINE_DEFINITION,DECISION_RULE,NOT_CLAUSE,EXAMPLE_SENTENCE,EXAMPLE_VERIFIED,count,freq_pct
Annotation Quality,Annotation Quality,This cluster focuses on limitations related to the quality and diversity of human annotations.,"This category includes issues related to annotator bias, diversity, and the quality of human annotations. It does NOT cover dataset size or language coverage.",Annotation Quality,"This label addresses the quality and accuracy of human annotations. Unlike 'Human Annotation Dependency', this focuses on the precision and reliability of the annotations themselves. Evidence includes limitations due to the quality of human-annotated seed questions.",Assign here if the limitation concerns the quality or accuracy of human annotations.,This label does NOT cover the reliance on human annotations for data processing.,The approach is limited by the quality of the human-annotated seed questions,True,19,0.63
Annotation Quality,Annotation Quality,This cluster focuses on limitations related to the quality and diversity of human annotations.,"This category includes issues related to annotator bias, diversity, and the quality of human annotations. It does NOT cover dataset size or language coverage.",Annotator Diversity,"This label addresses the lack of diversity among annotators, which can lead to biased results. Unlike 'Annotator Bias', this focuses on the demographic and background diversity of annotators. Evidence includes limited ethnic diversity due to recruiting constraints.",Assign here if the limitation concerns the diversity of the annotator pool.,This label does NOT cover biases introduced by individual annotators' perspectives.,Our annotator demographics had limited ethnic diversity due to practical constraints related to the recruiting platform and our study’s focus on English-speaking participants.,True,11,0.37
Annotation Quality,Annotation Quality,This cluster focuses on limitations related to the quality and diversity of human annotations.,"This category includes issues related to annotator bias, diversity, and the quality of human annotations. It does NOT cover dataset size or language coverage.",Human Annotation Dependency,"This label highlights the reliance on human annotations for data processing and evaluation. Unlike 'Annotation Quality', this focuses on the dependency on human input rather than the quality of that input. Evidence includes the dependency on human-annotated biases in benchmark datasets.",Assign here if the limitation concerns reliance on human annotations.,This label does NOT cover the quality or accuracy of the annotations themselves.,The work depends on human-annotated biases in benchmark datasets when assessing discussed measures.,True,7,0.23
Annotation Quality,Annotation Quality,This cluster focuses on limitations related to the quality and diversity of human annotations.,"This category includes issues related to annotator bias, diversity, and the quality of human annotations. It does NOT cover dataset size or language coverage.",Annotator Bias,"This label covers biases introduced by the personal perspectives of annotators. Unlike 'Annotator Diversity', this focuses on the subjective biases of individual annotators. Evidence includes the potential impact of annotator bias on results.",Assign here if the limitation concerns biases from individual annotators' perspectives.,This label does NOT cover the lack of diversity in the annotator pool.,Annotator bias may affect the results.,True,5,0.17
Bias and Representation,new: Bias and Representation,These clusters focus on biases and representativeness issues in datasets and models.,"This category covers limitations related to biases in training data, cultural representation, and dataset representativeness. It does NOT cover annotation quality or language coverage.",Inherent Bias,"This label covers biases that are deeply embedded in the dataset or model, often due to historical or systemic factors. Unlike 'Training Data Bias', this bias is not necessarily introduced during the data collection process but is a fundamental characteristic of the data or model. Evidence includes metrics dominated by features resistant to forgetting.",Assign here if the limitation concerns biases that are fundamental and persistent in the dataset or model.,This label does NOT cover biases introduced during data collection or processing.,"The metrics are dominated by features that are inherently resistant to forgetting, such as common tokens and simple, everyday text.",True,200,6.67
Bias and Representation,new: Bias and Representation,These clusters focus on biases and representativeness issues in datasets and models.,"This category covers limitations related to biases in training data, cultural representation, and dataset representativeness. It does NOT cover annotation quality or language coverage.",Dataset Representativeness Issue,"This label addresses issues where datasets do not adequately represent the diversity of the real world. Unlike 'Cultural Representation Bias', this issue is broader and includes any lack of representativeness. Evidence includes potential biases due to specific LLM-generated questions.",Assign here if the limitation concerns the lack of representativeness in the dataset.,This label does NOT cover biases specifically related to cultural representation.,Potential biases in the dataset due to questions generated by a specific LLM,True,148,4.93
Bias and Representation,new: Bias and Representation,These clusters focus on biases and representativeness issues in datasets and models.,"This category covers limitations related to biases in training data, cultural representation, and dataset representativeness. It does NOT cover annotation quality or language coverage.",Bias Propagation Risk,"This label covers the risk of biases being propagated from training data to model outputs. Unlike 'Bias Inheritance', this risk involves the active transfer of biases during model training or inference. Evidence includes the refinement process biasing topics toward pre-training knowledge.",Assign here if the limitation concerns the risk of biases being transferred from data to model outputs.,This label does NOT cover biases that are inherited without active propagation during training.,The refinement process may bias the topics toward the LLM’s pre-training knowledge,True,87,2.9
Bias and Representation,new: Bias and Representation,These clusters focus on biases and representativeness issues in datasets and models.,"This category covers limitations related to biases in training data, cultural representation, and dataset representativeness. It does NOT cover annotation quality or language coverage.",Language Resource Bias,"This label focuses on biases related to the availability and quality of language resources. Unlike 'Cultural Representation Bias', this bias pertains specifically to linguistic aspects. Evidence includes biases towards more commonly used languages in datasets.",Assign here if the limitation concerns biases related to language resources or linguistic representation.,This label does NOT cover biases related to cultural representation.,"The approach may not be equally effective for all languages, potentially leading to a bias towards more commonly used or better-represented languages in the dataset.",True,40,1.33
Bias and Representation,new: Bias and Representation,These clusters focus on biases and representativeness issues in datasets and models.,"This category covers limitations related to biases in training data, cultural representation, and dataset representativeness. It does NOT cover annotation quality or language coverage.",Cultural Representation Bias,"This label focuses on biases related to the representation of different cultures within datasets or models. Unlike 'Language Resource Bias', this bias pertains to cultural aspects rather than linguistic ones. Evidence includes biases in model answers filtered for toxic content.",Assign here if the limitation concerns biases in cultural representation within the dataset or model.,This label does NOT cover biases related to language resources or linguistic representation.,"Potential biases in model answers: the model developers may filter out toxic or biased content, but it is still possible that some answers may reflect biases.",True,19,0.63
Bias and Representation,new: Bias and Representation,These clusters focus on biases and representativeness issues in datasets and models.,"This category covers limitations related to biases in training data, cultural representation, and dataset representativeness. It does NOT cover annotation quality or language coverage.",Training Data Bias,"This label addresses biases introduced during the data collection or annotation process. Unlike 'Inherent Bias', these biases are not fundamental but are introduced by the methods or sources used to gather data. Evidence includes biases from human annotators or specific LLM-generated questions.",Assign here if the limitation concerns biases introduced during data collection or annotation.,This label does NOT cover biases that are fundamental to the dataset or model.,"Human annotators can introduce gender bias, complicating the quest for unbiased data.",True,14,0.47
